ECT,RPM,label,split,original_index
3.125,16.0,anomaly,test,162720
3.125,16.0,anomaly,test,162721
3.125,16.0,anomaly,test,162722
3.125,16.0,anomaly,test,162723
3.125,16.0,anomaly,test,162724
3.125,16.0,anomaly,test,162725
3.125,16.0,anomaly,test,162726
3.125,14.0,anomaly,test,162727
3.125,14.0,anomaly,test,162728
3.125,14.0,anomaly,test,162729
3.125,14.0,anomaly,test,162730
3.125,17.0,anomaly,test,162731
3.125,17.0,anomaly,test,162732
3.125,17.0,anomaly,test,162733
2.34375,16.0,anomaly,test,162734
2.34375,16.0,anomaly,test,162735
2.34375,16.0,anomaly,test,162736
2.34375,16.0,anomaly,test,162737
3.125,16.0,anomaly,test,162738
3.125,16.0,anomaly,test,162739
3.125,16.0,anomaly,test,162740
2.34375,16.0,anomaly,test,162741
2.34375,18.0,anomaly,test,162742
2.34375,18.0,anomaly,test,162743
2.34375,18.0,anomaly,test,162744
2.34375,20.0,anomaly,test,162745
2.34375,20.0,anomaly,test,162746
2.34375,20.0,anomaly,test,162747
2.34375,20.0,anomaly,test,162748
1.5625,19.0,anomaly,test,162749
1.5625,19.0,anomaly,test,162750
1.5625,19.0,anomaly,test,162751
1.5625,19.0,anomaly,test,162752
2.34375,21.0,anomaly,test,162753
2.34375,21.0,anomaly,test,162754
2.34375,21.0,anomaly,test,162755
2.34375,22.0,anomaly,test,162756
2.34375,22.0,anomaly,test,162757
2.34375,22.0,anomaly,test,162758
2.34375,22.0,anomaly,test,162759
3.125,22.0,anomaly,test,162760
3.125,22.0,anomaly,test,162761
3.125,22.0,anomaly,test,162762
3.125,22.0,anomaly,test,162763
-5.46875,21.0,anomaly,test,162764
-5.46875,21.0,anomaly,test,162765
-5.46875,21.0,anomaly,test,162766
-5.46875,30.0,anomaly,test,162767
-5.46875,30.0,anomaly,test,162768
-5.46875,30.0,anomaly,test,162769
-5.46875,30.0,anomaly,test,162770
3.125,39.0,anomaly,test,162771
3.125,39.0,anomaly,test,162772
3.125,39.0,anomaly,test,162773
3.125,39.0,anomaly,test,162774
3.125,35.0,anomaly,test,162775
3.125,35.0,anomaly,test,162776
3.125,35.0,anomaly,test,162777
-3.90625,27.0,anomaly,test,162778
-3.90625,27.0,anomaly,test,162779
-3.90625,27.0,anomaly,test,162780
-3.90625,27.0,anomaly,test,162781
0.0,33.0,anomaly,test,162782
0.0,33.0,anomaly,test,162783
0.0,33.0,anomaly,test,162784
0.0,33.0,anomaly,test,162785
1.5625,35.0,anomaly,test,162786
1.5625,35.0,anomaly,test,162787
1.5625,35.0,anomaly,test,162788
1.5625,35.0,anomaly,test,162789
1.5625,37.0,anomaly,test,162790
1.5625,37.0,anomaly,test,162791
1.5625,37.0,anomaly,test,162792
3.125,39.0,anomaly,test,162793
3.125,39.0,anomaly,test,162794
3.125,39.0,anomaly,test,162795
3.125,39.0,anomaly,test,162796
2.34375,39.0,anomaly,test,162797
2.34375,39.0,anomaly,test,162798
2.34375,39.0,anomaly,test,162799
3.125,39.0,anomaly,test,162800
3.125,37.0,anomaly,test,162801
3.125,37.0,anomaly,test,162802
3.125,37.0,anomaly,test,162803
3.125,35.0,anomaly,test,162804
3.125,35.0,anomaly,test,162805
3.125,35.0,anomaly,test,162806
3.125,35.0,anomaly,test,162807
3.125,34.0,anomaly,test,162808
3.125,34.0,anomaly,test,162809
3.125,34.0,anomaly,test,162810
3.125,34.0,anomaly,test,162811
3.125,30.0,anomaly,test,162812
3.125,30.0,anomaly,test,162813
3.125,30.0,anomaly,test,162814
3.125,24.0,anomaly,test,162815
3.125,24.0,anomaly,test,162816
3.125,24.0,anomaly,test,162817
3.125,24.0,anomaly,test,162818
3.125,13.0,anomaly,test,162819
3.125,13.0,anomaly,test,162820
3.125,13.0,anomaly,test,162821
1.5625,13.0,anomaly,test,162822
1.5625,11.0,anomaly,test,162823
1.5625,11.0,anomaly,test,162824
1.5625,11.0,anomaly,test,162825
-0.78125,14.0,anomaly,test,162826
-0.78125,14.0,anomaly,test,162827
-0.78125,14.0,anomaly,test,162828
-0.78125,14.0,anomaly,test,162829
-2.34375,20.0,anomaly,test,162830
-2.34375,20.0,anomaly,test,162831
-2.34375,20.0,anomaly,test,162832
-5.46875,20.0,anomaly,test,162833
-5.46875,24.0,anomaly,test,162834
-5.46875,24.0,anomaly,test,162835
-5.46875,24.0,anomaly,test,162836
-0.78125,28.0,anomaly,test,162837
-0.78125,28.0,anomaly,test,162838
-0.78125,28.0,anomaly,test,162839
-0.78125,28.0,anomaly,test,162840
-0.78125,31.0,anomaly,test,162841
-0.78125,31.0,anomaly,test,162842
-0.78125,31.0,anomaly,test,162843
0.0,31.0,anomaly,test,162844
0.0,34.0,anomaly,test,162845
0.0,34.0,anomaly,test,162846
0.0,34.0,anomaly,test,162847
2.34375,34.0,anomaly,test,162848
2.34375,34.0,anomaly,test,162849
2.34375,34.0,anomaly,test,162850
2.34375,34.0,anomaly,test,162851
1.5625,34.0,anomaly,test,162852
1.5625,34.0,anomaly,test,162853
1.5625,34.0,anomaly,test,162854
3.125,34.0,anomaly,test,162855
3.125,33.0,anomaly,test,162856
3.125,33.0,anomaly,test,162857
3.125,33.0,anomaly,test,162858
3.125,32.0,anomaly,test,162859
3.125,32.0,anomaly,test,162860
3.125,32.0,anomaly,test,162861
3.125,32.0,anomaly,test,162862
0.78125,29.0,anomaly,test,162863
0.78125,29.0,anomaly,test,162864
0.78125,29.0,anomaly,test,162865
0.78125,29.0,anomaly,test,162866
0.78125,29.0,anomaly,test,162867
0.78125,29.0,anomaly,test,162868
0.78125,29.0,anomaly,test,162869
0.78125,29.0,anomaly,test,162870
0.78125,29.0,anomaly,test,162871
0.78125,29.0,anomaly,test,162872
0.78125,29.0,anomaly,test,162873
1.5625,29.0,anomaly,test,162874
1.5625,29.0,anomaly,test,162875
1.5625,29.0,anomaly,test,162876
1.5625,29.0,anomaly,test,162877
0.78125,29.0,anomaly,test,162878
0.78125,29.0,anomaly,test,162879
0.78125,29.0,anomaly,test,162880
0.78125,29.0,anomaly,test,162881
0.78125,29.0,anomaly,test,162882
0.78125,29.0,anomaly,test,162883
0.78125,29.0,anomaly,test,162884
1.5625,31.0,anomaly,test,162885
1.5625,31.0,anomaly,test,162886
1.5625,31.0,anomaly,test,162887
1.5625,31.0,anomaly,test,162888
3.125,30.0,anomaly,test,162889
3.125,30.0,anomaly,test,162890
3.125,30.0,anomaly,test,162891
3.125,28.0,anomaly,test,162892
3.125,28.0,anomaly,test,162893
3.125,28.0,anomaly,test,162894
3.125,28.0,anomaly,test,162895
3.125,25.0,anomaly,test,162896
3.125,25.0,anomaly,test,162897
3.125,25.0,anomaly,test,162898
3.125,25.0,anomaly,test,162899
3.125,18.0,anomaly,test,162900
3.125,18.0,anomaly,test,162901
